meal_name,items,carbs,protein,calories,fats
Meal 3659,"Gatte ki Subji,Boiled Rice,Paratha(3),Milk (Buffalo),",232,42.65,881,31.65
Meal 3660,"Gatte ki Subji,Boiled Rice,Milk (Buffalo),",46,12.65,503,13.65
Meal 3661,"Gatte ki Subji,Boiled Rice,Wheat chapatti(1),Yogurt,",59,14.45,516,11.55
Meal 3662,"Gatte ki Subji,Boiled Rice,Brown bread(1),Yogurt,",100,24.45,550,15.45
Meal 3663,"Gatte ki Subji,Boiled Rice,Paratha(1),Yogurt,",106,21.45,572,17.15
Meal 3664,"Gatte ki Subji,Boiled Rice,Wheat chapatti(2),Yogurt,",74,17.45,586,11.95
Meal 3665,"Gatte ki Subji,Boiled Rice,Brown bread(2),Yogurt,",156,37.45,654,19.75
Meal 3666,"Gatte ki Subji,Boiled Rice,Paratha(2),Yogurt,",168,31.45,698,23.15
Meal 3667,"Gatte ki Subji,Boiled Rice,Wheat chapatti(3),Yogurt,",89,20.45,656,12.35
Meal 3668,"Gatte ki Subji,Boiled Rice,Brown bread(3),Yogurt,",212,50.45,758,24.05
Meal 3669,"Gatte ki Subji,Boiled Rice,Paratha(3),Yogurt,",230,41.45,824,29.15
Meal 3670,"Gatte ki Subji,Boiled Rice,Yogurt,",44,11.45,446,11.15
Meal 3671,"Gatte ki Subji,Boiled Rice,Wheat chapatti(1),Buttermilk,",56.5,12.15,471,8.65
Meal 3672,"Gatte ki Subji,Boiled Rice,Brown bread(1),Buttermilk,",97.5,22.15,505,12.55
Meal 3673,"Gatte ki Subji,Boiled Rice,Paratha(1),Buttermilk,",103.5,19.15,527,14.25
Meal 3674,"Gatte ki Subji,Boiled Rice,Wheat chapatti(2),Buttermilk,",71.5,15.15,541,9.05
Meal 3675,"Gatte ki Subji,Boiled Rice,Brown bread(2),Buttermilk,",153.5,35.15,609,16.85
Meal 3676,"Gatte ki Subji,Boiled Rice,Paratha(2),Buttermilk,",165.5,29.15,653,20.25
Meal 3677,"Gatte ki Subji,Boiled Rice,Wheat chapatti(3),Buttermilk,",86.5,18.15,611,9.45
Meal 3678,"Gatte ki Subji,Boiled Rice,Brown bread(3),Buttermilk,",209.5,48.15,713,21.15
Meal 3679,"Gatte ki Subji,Boiled Rice,Paratha(3),Buttermilk,",227.5,39.15,779,26.25
Meal 3680,"Gatte ki Subji,Boiled Rice,Buttermilk,",41.5,9.15,401,8.25
Meal 3681,"Gatte ki Subji,Boiled Rice,Wheat chapatti(1),Paneer (Cow’s milk),",57.2,29.65,721,28.35
Meal 3682,"Gatte ki Subji,Boiled Rice,Brown bread(1),Paneer (Cow’s milk),",98.2,39.65,755,32.25
Meal 3683,"Gatte ki Subji,Boiled Rice,Paratha(1),Paneer (Cow’s milk),",104.2,36.65,777,33.95
Meal 3684,"Gatte ki Subji,Boiled Rice,Wheat chapatti(2),Paneer (Cow’s milk),",72.2,32.65,791,28.75
Meal 3685,"Gatte ki Subji,Boiled Rice,Brown bread(2),Paneer (Cow’s milk),",154.2,52.65,859,36.55
Meal 3686,"Gatte ki Subji,Boiled Rice,Paratha(2),Paneer (Cow’s milk),",166.2,46.65,903,39.95
Meal 3687,"Gatte ki Subji,Boiled Rice,Wheat chapatti(3),Paneer (Cow’s milk),",87.2,35.65,861,29.15
Meal 3688,"Gatte ki Subji,Boiled Rice,Brown bread(3),Paneer (Cow’s milk),",210.2,65.65,963,40.85
Meal 3689,"Gatte ki Subji,Boiled Rice,Paratha(3),Paneer (Cow’s milk),",228.2,56.65,1029,45.95
Meal 3690,"Gatte ki Subji,Boiled Rice,Paneer (Cow’s milk),",42.2,26.65,651,27.95
Meal 3691,"Gatte ki Subji,Boiled Rice,Wheat chapatti(1),Paneer (Buffalo’s milk),",63.9,24.75,748,30.55
Meal 3692,"Gatte ki Subji,Boiled Rice,Brown bread(1),Paneer (Buffalo’s milk),",104.9,34.75,782,34.45
Meal 3693,"Gatte ki Subji,Boiled Rice,Paratha(1),Paneer (Buffalo’s milk),",110.9,31.75,804,36.15
Meal 3694,"Gatte ki Subji,Boiled Rice,Wheat chapatti(2),Paneer (Buffalo’s milk),",78.9,27.75,818,30.95
Meal 3695,"Gatte ki Subji,Boiled Rice,Brown bread(2),Paneer (Buffalo’s milk),",160.9,47.75,886,38.75
Meal 3696,"Gatte ki Subji,Boiled Rice,Paratha(2),Paneer (Buffalo’s milk),",172.9,41.75,930,42.15
Meal 3697,"Gatte ki Subji,Boiled Rice,Wheat chapatti(3),Paneer (Buffalo’s milk),",93.9,30.75,888,31.35
Meal 3698,"Gatte ki Subji,Boiled Rice,Brown bread(3),Paneer (Buffalo’s milk),",216.9,60.75,990,43.05
Meal 3699,"Gatte ki Subji,Boiled Rice,Paratha(3),Paneer (Buffalo’s milk),",234.9,51.75,1056,48.15
Meal 3700,"Gatte ki Subji,Boiled Rice,Paneer (Buffalo’s milk),",48.9,21.75,678,30.15
Meal 3701,"Gatte ki Subji,Boiled Rice,Wheat chapatti(1),Lassi,",59.2,17.05,525,8.05
Meal 3702,"Gatte ki Subji,Boiled Rice,Brown bread(1),Lassi,",100.2,27.05,559,11.95
Meal 3703,"Gatte ki Subji,Boiled Rice,Paratha(1),Lassi,",106.2,24.05,581,13.65
Meal 3704,"Gatte ki Subji,Boiled Rice,Wheat chapatti(2),Lassi,",74.2,20.05,595,8.45
Meal 3705,"Gatte ki Subji,Boiled Rice,Brown bread(2),Lassi,",156.2,40.05,663,16.25
Meal 3706,"Gatte ki Subji,Boiled Rice,Paratha(2),Lassi,",168.2,34.05,707,19.65
Meal 3707,"Gatte ki Subji,Boiled Rice,Wheat chapatti(3),Lassi,",89.2,23.05,665,8.85
Meal 3708,"Gatte ki Subji,Boiled Rice,Brown bread(3),Lassi,",212.2,53.05,767,20.55
Meal 3709,"Gatte ki Subji,Boiled Rice,Paratha(3),Lassi,",230.2,44.05,833,25.65
Meal 3710,"Gatte ki Subji,Boiled Rice,Lassi,",44.2,14.05,455,7.65
Meal 3711,"Gatte ki Subji,Pulao,Wheat chapatti(1),Milk (Cow),",54.4,15.55,531,14.85
Meal 3712,"Gatte ki Subji,Pulao,Brown bread(1),Milk (Cow),",95.4,25.55,565,18.75
Meal 3713,"Gatte ki Subji,Pulao,Paratha(1),Milk (Cow),",101.4,22.55,587,20.45
Meal 3714,"Gatte ki Subji,Pulao,Wheat chapatti(2),Milk (Cow),",69.4,18.55,601,15.25
Meal 3715,"Gatte ki Subji,Pulao,Brown bread(2),Milk (Cow),",151.4,38.55,669,23.05
Meal 3716,"Gatte ki Subji,Pulao,Paratha(2),Milk (Cow),",163.4,32.55,713,26.45
Meal 3717,"Gatte ki Subji,Pulao,Wheat chapatti(3),Milk (Cow),",84.4,21.55,671,15.65
Meal 3718,"Gatte ki Subji,Pulao,Brown bread(3),Milk (Cow),",207.4,51.55,773,27.35
Meal 3719,"Gatte ki Subji,Pulao,Paratha(3),Milk (Cow),",225.4,42.55,839,32.45
Meal 3720,"Gatte ki Subji,Pulao,Milk (Cow),",39.4,12.55,461,14.45
Meal 3721,"Gatte ki Subji,Pulao,Wheat chapatti(1),Milk (Buffalo),",55,16.65,581,17.25
Meal 3722,"Gatte ki Subji,Pulao,Brown bread(1),Milk (Buffalo),",96,26.65,615,21.15
Meal 3723,"Gatte ki Subji,Pulao,Paratha(1),Milk (Buffalo),",102,23.65,637,22.85
Meal 3724,"Gatte ki Subji,Pulao,Wheat chapatti(2),Milk (Buffalo),",70,19.65,651,17.65
Meal 3725,"Gatte ki Subji,Pulao,Brown bread(2),Milk (Buffalo),",152,39.65,719,25.45
Meal 3726,"Gatte ki Subji,Pulao,Paratha(2),Milk (Buffalo),",164,33.65,763,28.85
Meal 3727,"Gatte ki Subji,Pulao,Wheat chapatti(3),Milk (Buffalo),",85,22.65,721,18.05
Meal 3728,"Gatte ki Subji,Pulao,Brown bread(3),Milk (Buffalo),",208,52.65,823,29.75
Meal 3729,"Gatte ki Subji,Pulao,Paratha(3),Milk (Buffalo),",226,43.65,889,34.85
Meal 3730,"Gatte ki Subji,Pulao,Milk (Buffalo),",40,13.65,511,16.85
Meal 3731,"Gatte ki Subji,Pulao,Wheat chapatti(1),Yogurt,",53,15.45,524,14.75
Meal 3732,"Gatte ki Subji,Pulao,Brown bread(1),Yogurt,",94,25.45,558,18.65
Meal 3733,"Gatte ki Subji,Pulao,Paratha(1),Yogurt,",100,22.45,580,20.35
Meal 3734,"Gatte ki Subji,Pulao,Wheat chapatti(2),Yogurt,",68,18.45,594,15.15
Meal 3735,"Gatte ki Subji,Pulao,Brown bread(2),Yogurt,",150,38.45,662,22.95
Meal 3736,"Gatte ki Subji,Pulao,Paratha(2),Yogurt,",162,32.45,706,26.35
Meal 3737,"Gatte ki Subji,Pulao,Wheat chapatti(3),Yogurt,",83,21.45,664,15.55
Meal 3738,"Gatte ki Subji,Pulao,Brown bread(3),Yogurt,",206,51.45,766,27.25
Meal 3739,"Gatte ki Subji,Pulao,Paratha(3),Yogurt,",224,42.45,832,32.35
Meal 3740,"Gatte ki Subji,Pulao,Yogurt,",38,12.45,454,14.35
Meal 3741,"Gatte ki Subji,Pulao,Wheat chapatti(1),Buttermilk,",50.5,13.15,479,11.85
Meal 3742,"Gatte ki Subji,Pulao,Brown bread(1),Buttermilk,",91.5,23.15,513,15.75
Meal 3743,"Gatte ki Subji,Pulao,Paratha(1),Buttermilk,",97.5,20.15,535,17.45
Meal 3744,"Gatte ki Subji,Pulao,Wheat chapatti(2),Buttermilk,",65.5,16.15,549,12.25
Meal 3745,"Gatte ki Subji,Pulao,Brown bread(2),Buttermilk,",147.5,36.15,617,20.05
Meal 3746,"Gatte ki Subji,Pulao,Paratha(2),Buttermilk,",159.5,30.15,661,23.45
Meal 3747,"Gatte ki Subji,Pulao,Wheat chapatti(3),Buttermilk,",80.5,19.15,619,12.65
Meal 3748,"Gatte ki Subji,Pulao,Brown bread(3),Buttermilk,",203.5,49.15,721,24.35
Meal 3749,"Gatte ki Subji,Pulao,Paratha(3),Buttermilk,",221.5,40.15,787,29.45
Meal 3750,"Gatte ki Subji,Pulao,Buttermilk,",35.5,10.15,409,11.45
Meal 3751,"Gatte ki Subji,Pulao,Wheat chapatti(1),Paneer (Cow’s milk),",51.2,30.65,729,31.55
Meal 3752,"Gatte ki Subji,Pulao,Brown bread(1),Paneer (Cow’s milk),",92.2,40.65,763,35.45
Meal 3753,"Gatte ki Subji,Pulao,Paratha(1),Paneer (Cow’s milk),",98.2,37.65,785,37.15
Meal 3754,"Gatte ki Subji,Pulao,Wheat chapatti(2),Paneer (Cow’s milk),",66.2,33.65,799,31.95
Meal 3755,"Gatte ki Subji,Pulao,Brown bread(2),Paneer (Cow’s milk),",148.2,53.65,867,39.75
Meal 3756,"Gatte ki Subji,Pulao,Paratha(2),Paneer (Cow’s milk),",160.2,47.65,911,43.15
Meal 3757,"Gatte ki Subji,Pulao,Wheat chapatti(3),Paneer (Cow’s milk),",81.2,36.65,869,32.35
Meal 3758,"Gatte ki Subji,Pulao,Brown bread(3),Paneer (Cow’s milk),",204.2,66.65,971,44.05
Meal 3759,"Gatte ki Subji,Pulao,Paratha(3),Paneer (Cow’s milk),",222.2,57.65,1037,49.15
Meal 3760,"Gatte ki Subji,Pulao,Paneer (Cow’s milk),",36.2,27.65,659,31.15
Meal 3761,"Gatte ki Subji,Pulao,Wheat chapatti(1),Paneer (Buffalo’s milk),",57.9,25.75,756,33.75
Meal 3762,"Gatte ki Subji,Pulao,Brown bread(1),Paneer (Buffalo’s milk),",98.9,35.75,790,37.65
Meal 3763,"Gatte ki Subji,Pulao,Paratha(1),Paneer (Buffalo’s milk),",104.9,32.75,812,39.35
Meal 3764,"Gatte ki Subji,Pulao,Wheat chapatti(2),Paneer (Buffalo’s milk),",72.9,28.75,826,34.15
Meal 3765,"Gatte ki Subji,Pulao,Brown bread(2),Paneer (Buffalo’s milk),",154.9,48.75,894,41.95
Meal 3766,"Gatte ki Subji,Pulao,Paratha(2),Paneer (Buffalo’s milk),",166.9,42.75,938,45.35
Meal 3767,"Gatte ki Subji,Pulao,Wheat chapatti(3),Paneer (Buffalo’s milk),",87.9,31.75,896,34.55
Meal 3768,"Gatte ki Subji,Pulao,Brown bread(3),Paneer (Buffalo’s milk),",210.9,61.75,998,46.25
Meal 3769,"Gatte ki Subji,Pulao,Paratha(3),Paneer (Buffalo’s milk),",228.9,52.75,1064,51.35
Meal 3770,"Gatte ki Subji,Pulao,Paneer (Buffalo’s milk),",42.9,22.75,686,33.35
Meal 3771,"Gatte ki Subji,Pulao,Wheat chapatti(1),Lassi,",53.2,18.05,533,11.25
Meal 3772,"Gatte ki Subji,Pulao,Brown bread(1),Lassi,",94.2,28.05,567,15.15
Meal 3773,"Gatte ki Subji,Pulao,Paratha(1),Lassi,",100.2,25.05,589,16.85
Meal 3774,"Gatte ki Subji,Pulao,Wheat chapatti(2),Lassi,",68.2,21.05,603,11.65
Meal 3775,"Gatte ki Subji,Pulao,Brown bread(2),Lassi,",150.2,41.05,671,19.45
Meal 3776,"Gatte ki Subji,Pulao,Paratha(2),Lassi,",162.2,35.05,715,22.85
Meal 3777,"Gatte ki Subji,Pulao,Wheat chapatti(3),Lassi,",83.2,24.05,673,12.05
Meal 3778,"Gatte ki Subji,Pulao,Brown bread(3),Lassi,",206.2,54.05,775,23.75
Meal 3779,"Gatte ki Subji,Pulao,Paratha(3),Lassi,",224.2,45.05,841,28.85
Meal 3780,"Gatte ki Subji,Pulao,Lassi,",38.2,15.05,463,10.85
Meal 3781,"Gatte ki Subji,Khichadi,Wheat chapatti(1),Milk (Cow),",68.4,16.65,627,18.85
Meal 3782,"Gatte ki Subji,Khichadi,Brown bread(1),Milk (Cow),",109.4,26.65,661,22.75
Meal 3783,"Gatte ki Subji,Khichadi,Paratha(1),Milk (Cow),",115.4,23.65,683,24.45
Meal 3784,"Gatte ki Subji,Khichadi,Wheat chapatti(2),Milk (Cow),",83.4,19.65,697,19.25
Meal 3785,"Gatte ki Subji,Khichadi,Brown bread(2),Milk (Cow),",165.4,39.65,765,27.05
Meal 3786,"Gatte ki Subji,Khichadi,Paratha(2),Milk (Cow),",177.4,33.65,809,30.45
Meal 3787,"Gatte ki Subji,Khichadi,Wheat chapatti(3),Milk (Cow),",98.4,22.65,767,19.65
Meal 3788,"Gatte ki Subji,Khichadi,Brown bread(3),Milk (Cow),",221.4,52.65,869,31.35
Meal 3789,"Gatte ki Subji,Khichadi,Paratha(3),Milk (Cow),",239.4,43.65,935,36.45
Meal 3790,"Gatte ki Subji,Khichadi,Milk (Cow),",53.4,13.65,557,18.45
Meal 3791,"Gatte ki Subji,Khichadi,Wheat chapatti(1),Milk (Buffalo),",69,17.75,677,21.25
Meal 3792,"Gatte ki Subji,Khichadi,Brown bread(1),Milk (Buffalo),",110,27.75,711,25.15
Meal 3793,"Gatte ki Subji,Khichadi,Paratha(1),Milk (Buffalo),",116,24.75,733,26.85
Meal 3794,"Gatte ki Subji,Khichadi,Wheat chapatti(2),Milk (Buffalo),",84,20.75,747,21.65
Meal 3795,"Gatte ki Subji,Khichadi,Brown bread(2),Milk (Buffalo),",166,40.75,815,29.45
Meal 3796,"Gatte ki Subji,Khichadi,Paratha(2),Milk (Buffalo),",178,34.75,859,32.85
Meal 3797,"Gatte ki Subji,Khichadi,Wheat chapatti(3),Milk (Buffalo),",99,23.75,817,22.05
Meal 3798,"Gatte ki Subji,Khichadi,Brown bread(3),Milk (Buffalo),",222,53.75,919,33.75
Meal 3799,"Gatte ki Subji,Khichadi,Paratha(3),Milk (Buffalo),",240,44.75,985,38.85
Meal 3800,"Gatte ki Subji,Khichadi,Milk (Buffalo),",54,14.75,607,20.85
Meal 3801,"Gatte ki Subji,Khichadi,Wheat chapatti(1),Yogurt,",67,16.55,620,18.75
Meal 3802,"Gatte ki Subji,Khichadi,Brown bread(1),Yogurt,",108,26.55,654,22.65
Meal 3803,"Gatte ki Subji,Khichadi,Paratha(1),Yogurt,",114,23.55,676,24.35
Meal 3804,"Gatte ki Subji,Khichadi,Wheat chapatti(2),Yogurt,",82,19.55,690,19.15
Meal 3805,"Gatte ki Subji,Khichadi,Brown bread(2),Yogurt,",164,39.55,758,26.95
Meal 3806,"Gatte ki Subji,Khichadi,Paratha(2),Yogurt,",176,33.55,802,30.35
Meal 3807,"Gatte ki Subji,Khichadi,Wheat chapatti(3),Yogurt,",97,22.55,760,19.55
Meal 3808,"Gatte ki Subji,Khichadi,Brown bread(3),Yogurt,",220,52.55,862,31.25
Meal 3809,"Gatte ki Subji,Khichadi,Paratha(3),Yogurt,",238,43.55,928,36.35
Meal 3810,"Gatte ki Subji,Khichadi,Yogurt,",52,13.55,550,18.35
Meal 3811,"Gatte ki Subji,Khichadi,Wheat chapatti(1),Buttermilk,",64.5,14.25,575,15.85
Meal 3812,"Gatte ki Subji,Khichadi,Brown bread(1),Buttermilk,",105.5,24.25,609,19.75
Meal 3813,"Gatte ki Subji,Khichadi,Paratha(1),Buttermilk,",111.5,21.25,631,21.45
Meal 3814,"Gatte ki Subji,Khichadi,Wheat chapatti(2),Buttermilk,",79.5,17.25,645,16.25
Meal 3815,"Gatte ki Subji,Khichadi,Brown bread(2),Buttermilk,",161.5,37.25,713,24.05
Meal 3816,"Gatte ki Subji,Khichadi,Paratha(2),Buttermilk,",173.5,31.25,757,27.45
Meal 3817,"Gatte ki Subji,Khichadi,Wheat chapatti(3),Buttermilk,",94.5,20.25,715,16.65
Meal 3818,"Gatte ki Subji,Khichadi,Brown bread(3),Buttermilk,",217.5,50.25,817,28.35
Meal 3819,"Gatte ki Subji,Khichadi,Paratha(3),Buttermilk,",235.5,41.25,883,33.45
Meal 3820,"Gatte ki Subji,Khichadi,Buttermilk,",49.5,11.25,505,15.45
Meal 3821,"Gatte ki Subji,Khichadi,Wheat chapatti(1),Paneer (Cow’s milk),",65.2,31.75,825,35.55
Meal 3822,"Gatte ki Subji,Khichadi,Brown bread(1),Paneer (Cow’s milk),",106.2,41.75,859,39.45
Meal 3823,"Gatte ki Subji,Khichadi,Paratha(1),Paneer (Cow’s milk),",112.2,38.75,881,41.15
Meal 3824,"Gatte ki Subji,Khichadi,Wheat chapatti(2),Paneer (Cow’s milk),",80.2,34.75,895,35.95
Meal 3825,"Gatte ki Subji,Khichadi,Brown bread(2),Paneer (Cow’s milk),",162.2,54.75,963,43.75
Meal 3826,"Gatte ki Subji,Khichadi,Paratha(2),Paneer (Cow’s milk),",174.2,48.75,1007,47.15
Meal 3827,"Gatte ki Subji,Khichadi,Wheat chapatti(3),Paneer (Cow’s milk),",95.2,37.75,965,36.35
Meal 3828,"Gatte ki Subji,Khichadi,Brown bread(3),Paneer (Cow’s milk),",218.2,67.75,1067,48.05
Meal 3829,"Gatte ki Subji,Khichadi,Paratha(3),Paneer (Cow’s milk),",236.2,58.75,1133,53.15
Meal 3830,"Gatte ki Subji,Khichadi,Paneer (Cow’s milk),",50.2,28.75,755,35.15
Meal 3831,"Gatte ki Subji,Khichadi,Wheat chapatti(1),Paneer (Buffalo’s milk),",71.9,26.85,852,37.75
Meal 3832,"Gatte ki Subji,Khichadi,Brown bread(1),Paneer (Buffalo’s milk),",112.9,36.85,886,41.65
Meal 3833,"Gatte ki Subji,Khichadi,Paratha(1),Paneer (Buffalo’s milk),",118.9,33.85,908,43.35
Meal 3834,"Gatte ki Subji,Khichadi,Wheat chapatti(2),Paneer (Buffalo’s milk),",86.9,29.85,922,38.15
Meal 3835,"Gatte ki Subji,Khichadi,Brown bread(2),Paneer (Buffalo’s milk),",168.9,49.85,990,45.95
Meal 3836,"Gatte ki Subji,Khichadi,Paratha(2),Paneer (Buffalo’s milk),",180.9,43.85,1034,49.35
Meal 3837,"Gatte ki Subji,Khichadi,Wheat chapatti(3),Paneer (Buffalo’s milk),",101.9,32.85,992,38.55
Meal 3838,"Gatte ki Subji,Khichadi,Brown bread(3),Paneer (Buffalo’s milk),",224.9,62.85,1094,50.25
Meal 3839,"Gatte ki Subji,Khichadi,Paratha(3),Paneer (Buffalo’s milk),",242.9,53.85,1160,55.35
Meal 3840,"Gatte ki Subji,Khichadi,Paneer (Buffalo’s milk),",56.9,23.85,782,37.35
Meal 3841,"Gatte ki Subji,Khichadi,Wheat chapatti(1),Lassi,",67.2,19.15,629,15.25
Meal 3842,"Gatte ki Subji,Khichadi,Brown bread(1),Lassi,",108.2,29.15,663,19.15
Meal 3843,"Gatte ki Subji,Khichadi,Paratha(1),Lassi,",114.2,26.15,685,20.85
Meal 3844,"Gatte ki Subji,Khichadi,Wheat chapatti(2),Lassi,",82.2,22.15,699,15.65
Meal 3845,"Gatte ki Subji,Khichadi,Brown bread(2),Lassi,",164.2,42.15,767,23.45
Meal 3846,"Gatte ki Subji,Khichadi,Paratha(2),Lassi,",176.2,36.15,811,26.85
Meal 3847,"Gatte ki Subji,Khichadi,Wheat chapatti(3),Lassi,",97.2,25.15,769,16.05
Meal 3848,"Gatte ki Subji,Khichadi,Brown bread(3),Lassi,",220.2,55.15,871,27.75
Meal 3849,"Gatte ki Subji,Khichadi,Paratha(3),Lassi,",238.2,46.15,937,32.85
Meal 3850,"Gatte ki Subji,Khichadi,Lassi,",52.2,16.15,559,14.85
Meal 3851,"Gatte ki Subji,Wheat chapatti(1),Milk (Cow),",35.4,12.35,412,11.45
Meal 3852,"Gatte ki Subji,Brown bread(1),Milk (Cow),",76.4,22.35,446,15.35
Meal 3853,"Gatte ki Subji,Paratha(1),Milk (Cow),",82.4,19.35,468,17.05
Meal 3854,"Gatte ki Subji,Wheat chapatti(2),Milk (Cow),",50.4,15.35,482,11.85
Meal 3855,"Gatte ki Subji,Brown bread(2),Milk (Cow),",132.4,35.35,550,19.65
Meal 3856,"Gatte ki Subji,Paratha(2),Milk (Cow),",144.4,29.35,594,23.05
Meal 3857,"Gatte ki Subji,Wheat chapatti(3),Milk (Cow),",65.4,18.35,552,12.25
Meal 3858,"Gatte ki Subji,Brown bread(3),Milk (Cow),",188.4,48.35,654,23.95
Meal 3859,"Gatte ki Subji,Paratha(3),Milk (Cow),",206.4,39.35,720,29.05
Meal 3860,"Gatte ki Subji,Milk (Cow),",20.4,9.35,342,11.05
Meal 3861,"Gatte ki Subji,Wheat chapatti(1),Milk (Buffalo),",36,13.45,462,13.85
Meal 3862,"Gatte ki Subji,Brown bread(1),Milk (Buffalo),",77,23.45,496,17.75
Meal 3863,"Gatte ki Subji,Paratha(1),Milk (Buffalo),",83,20.45,518,19.45
Meal 3864,"Gatte ki Subji,Wheat chapatti(2),Milk (Buffalo),",51,16.45,532,14.25
Meal 3865,"Gatte ki Subji,Brown bread(2),Milk (Buffalo),",133,36.45,600,22.05
Meal 3866,"Gatte ki Subji,Paratha(2),Milk (Buffalo),",145,30.45,644,25.45
Meal 3867,"Gatte ki Subji,Wheat chapatti(3),Milk (Buffalo),",66,19.45,602,14.65
Meal 3868,"Gatte ki Subji,Brown bread(3),Milk (Buffalo),",189,49.45,704,26.35
Meal 3869,"Gatte ki Subji,Paratha(3),Milk (Buffalo),",207,40.45,770,31.45
Meal 3870,"Gatte ki Subji,Milk (Buffalo),",21,10.45,392,13.45
Meal 3871,"Gatte ki Subji,Wheat chapatti(1),Yogurt,",34,12.25,405,11.35
Meal 3872,"Gatte ki Subji,Brown bread(1),Yogurt,",75,22.25,439,15.25
Meal 3873,"Gatte ki Subji,Paratha(1),Yogurt,",81,19.25,461,16.95
Meal 3874,"Gatte ki Subji,Wheat chapatti(2),Yogurt,",49,15.25,475,11.75
Meal 3875,"Gatte ki Subji,Brown bread(2),Yogurt,",131,35.25,543,19.55
Meal 3876,"Gatte ki Subji,Paratha(2),Yogurt,",143,29.25,587,22.95
Meal 3877,"Gatte ki Subji,Wheat chapatti(3),Yogurt,",64,18.25,545,12.15
Meal 3878,"Gatte ki Subji,Brown bread(3),Yogurt,",187,48.25,647,23.85
Meal 3879,"Gatte ki Subji,Paratha(3),Yogurt,",205,39.25,713,28.95
Meal 3880,"Gatte ki Subji,Yogurt,",19,9.25,335,10.95
Meal 3881,"Gatte ki Subji,Wheat chapatti(1),Buttermilk,",31.5,9.95,360,8.45
Meal 3882,"Gatte ki Subji,Brown bread(1),Buttermilk,",72.5,19.95,394,12.35
Meal 3883,"Gatte ki Subji,Paratha(1),Buttermilk,",78.5,16.95,416,14.05
Meal 3884,"Gatte ki Subji,Wheat chapatti(2),Buttermilk,",46.5,12.95,430,8.85
Meal 3885,"Gatte ki Subji,Brown bread(2),Buttermilk,",128.5,32.95,498,16.65
Meal 3886,"Gatte ki Subji,Paratha(2),Buttermilk,",140.5,26.95,542,20.05
Meal 3887,"Gatte ki Subji,Wheat chapatti(3),Buttermilk,",61.5,15.95,500,9.25
Meal 3888,"Gatte ki Subji,Brown bread(3),Buttermilk,",184.5,45.95,602,20.95
Meal 3889,"Gatte ki Subji,Paratha(3),Buttermilk,",202.5,36.95,668,26.05
Meal 3890,"Gatte ki Subji,Buttermilk,",16.5,6.95,290,8.05
Meal 3891,"Gatte ki Subji,Wheat chapatti(1),Paneer (Cow’s milk),",32.2,27.45,610,28.15
Meal 3892,"Gatte ki Subji,Brown bread(1),Paneer (Cow’s milk),",73.2,37.45,644,32.05
Meal 3893,"Gatte ki Subji,Paratha(1),Paneer (Cow’s milk),",79.2,34.45,666,33.75
Meal 3894,"Gatte ki Subji,Wheat chapatti(2),Paneer (Cow’s milk),",47.2,30.45,680,28.55
Meal 3895,"Gatte ki Subji,Brown bread(2),Paneer (Cow’s milk),",129.2,50.45,748,36.35
Meal 3896,"Gatte ki Subji,Paratha(2),Paneer (Cow’s milk),",141.2,44.45,792,39.75
Meal 3897,"Gatte ki Subji,Wheat chapatti(3),Paneer (Cow’s milk),",62.2,33.45,750,28.95
Meal 3898,"Gatte ki Subji,Brown bread(3),Paneer (Cow’s milk),",185.2,63.45,852,40.65
Meal 3899,"Gatte ki Subji,Paratha(3),Paneer (Cow’s milk),",203.2,54.45,918,45.75
Meal 3900,"Gatte ki Subji,Paneer (Cow’s milk),",17.2,24.45,540,27.75
Meal 3901,"Gatte ki Subji,Wheat chapatti(1),Paneer (Buffalo’s milk),",38.9,22.55,637,30.35
Meal 3902,"Gatte ki Subji,Brown bread(1),Paneer (Buffalo’s milk),",79.9,32.55,671,34.25
Meal 3903,"Gatte ki Subji,Paratha(1),Paneer (Buffalo’s milk),",85.9,29.55,693,35.95
Meal 3904,"Gatte ki Subji,Wheat chapatti(2),Paneer (Buffalo’s milk),",53.9,25.55,707,30.75
Meal 3905,"Gatte ki Subji,Brown bread(2),Paneer (Buffalo’s milk),",135.9,45.55,775,38.55
Meal 3906,"Gatte ki Subji,Paratha(2),Paneer (Buffalo’s milk),",147.9,39.55,819,41.95
Meal 3907,"Gatte ki Subji,Wheat chapatti(3),Paneer (Buffalo’s milk),",68.9,28.55,777,31.15
Meal 3908,"Gatte ki Subji,Brown bread(3),Paneer (Buffalo’s milk),",191.9,58.55,879,42.85
Meal 3909,"Gatte ki Subji,Paratha(3),Paneer (Buffalo’s milk),",209.9,49.55,945,47.95
Meal 3910,"Gatte ki Subji,Paneer (Buffalo’s milk),",23.9,19.55,567,29.95
Meal 3911,"Gatte ki Subji,Wheat chapatti(1),Lassi,",34.2,14.85,414,7.85
Meal 3912,"Gatte ki Subji,Brown bread(1),Lassi,",75.2,24.85,448,11.75
Meal 3913,"Gatte ki Subji,Paratha(1),Lassi,",81.2,21.85,470,13.45
Meal 3914,"Gatte ki Subji,Wheat chapatti(2),Lassi,",49.2,17.85,484,8.25
Meal 3915,"Gatte ki Subji,Brown bread(2),Lassi,",131.2,37.85,552,16.05
Meal 3916,"Gatte ki Subji,Paratha(2),Lassi,",143.2,31.85,596,19.45
